season,Unnamed: 0,movie,studio,gross,release,time
Q2 1989,0,Batman,Warner Bros.,251188924.0,1989-06-23,1989-06-30
Q2 1989,1,Indiana Jones and the Last Crusade,Paramount Pictures,197171806.0,1989-05-24,1989-06-30
Q4 1989,4,Back to the Future Part II,Universal Pictures,118450002.0,1989-11-22,1989-12-31
Q2 1989,2,Ghostbusters II,Columbia Pictures,112494738.0,1989-06-16,1989-06-30
Q4 1989,5,Twins,Universal Pictures,111938388.0,1989-12-09,1989-12-31
Q4 1989,26,Driving Miss Daisy,Warner Bros.,106593296.0,1989-12-15,1989-12-31
Q3 1989,3,Parenthood,Universal Pictures,100047830.0,1989-08-02,1989-09-30
Q4 1989,10,The War of the Roses,Twentieth Century Fox,86888546.0,1989-12-08,1989-12-31
Q4 1989,8,The Little Mermaid,Walt Disney Studios Motion Pictures,84355863.0,1989-11-17,1989-12-31
Q4 1989,6,National Lampoon's Christmas Vacation,Warner Bros.,71319526.0,1989-12-01,1989-12-31
Q4 1989,33,Born on the Fourth of July,Universal Pictures,70001698.0,1989-12-22,1989-12-31
Q4 1989,24,Working Girl,Twentieth Century Fox,63779477.0,1989-12-23,1989-12-31
Q4 1989,11,Tango & Cash,Warner Bros.,63408614.0,1989-12-22,1989-12-31
Q4 1989,7,Harlem Nights,Paramount Pictures,60864870.0,1989-11-17,1989-12-31
Q4 1989,20,Beaches,Walt Disney Studios Motion Pictures,57041866.0,1989-12-23,1989-12-31
Q4 1989,13,Always,Universal Pictures,43858790.0,1989-12-22,1989-12-31
Q4 1989,35,Mississippi Burning,Orion Pictures,34603943.0,1989-12-09,1989-12-31
Q4 1989,12,All Dogs Go to Heaven,United Artists,27100027.0,1989-11-17,1989-12-31
Q4 1989,15,Blaze,Walt Disney Studios Motion Pictures,19131246.0,1989-12-15,1989-12-31
Q4 1989,14,She-Devil,Orion Pictures,15351421.0,1989-12-08,1989-12-31
Q4 1990,72,Home Alone,Twentieth Century Fox,285761243.0,1990-11-16,1990-12-31
Q4 1990,75,Dances with Wolves,Orion Pictures,184208848.0,1990-11-09,1990-12-31
Q1 1990,94,Pretty Woman,Walt Disney Studios Motion Pictures,178406268.0,1990-03-23,1990-03-31
Q2 1990,73,Total Recall,Sony Pictures Releasing,119394840.0,1990-06-01,1990-06-30
Q4 1990,82,Back to the Future Part II,Universal Pictures,118450002.0,1990-11-22,1990-12-31
Q4 1990,96,Driving Miss Daisy,Warner Bros.,106593296.0,1990-12-15,1990-12-31
Q3 1990,93,Parenthood,Universal Pictures,100047830.0,1990-08-02,1990-09-30
Q4 1990,79,Kindergarten Cop,Universal Pictures,91457688.0,1990-12-22,1990-12-31
Q2 1990,74,Back to the Future Part III,Universal Pictures,87727583.0,1990-05-25,1990-06-30
Q4 1990,76,3 Men and a Little Lady,Walt Disney Studios Motion Pictures,71609321.0,1990-11-21,1990-12-31
Q4 1990,90,The Godfather: Part III,Paramount Pictures,66666062.0,1990-12-25,1990-12-31
Q4 1990,77,Misery,Columbia Pictures,61276872.0,1990-11-30,1990-12-31
Q4 1990,81,Edward Scissorhands,Twentieth Century Fox,56362352.0,1990-12-07,1990-12-31
Q4 1990,104,Awakenings,Columbia Pictures,52096475.0,1990-12-22,1990-12-31
Q3 1990,78,Goodfellas,Warner Bros.,46836214.0,1990-09-19,1990-09-30
Q1 1990,101,Joe Versus the Volcano,Warner Bros.,39404261.0,1990-03-09,1990-03-31
Q4 1990,85,Mermaids,Orion Pictures,35419397.0,1990-12-14,1990-12-31
Q4 1990,123,Green Card,Walt Disney Studios Motion Pictures,29888235.0,1990-12-25,1990-12-31
Q4 1990,83,The Rescuers Down Under,Walt Disney Studios Motion Pictures,27931461.0,1990-11-16,1990-12-31
Q4 1990,87,The Russia House,Metro-Goldwyn-Mayer (MGM),22997992.0,1990-12-22,1990-12-31
Q4 1991,161,Home Alone,Twentieth Century Fox,285761243.0,1991-11-16,1991-12-31
Q3 1991,167,Ghost,Paramount Pictures,217631306.0,1991-07-13,1991-09-30
Q4 1991,164,Dances with Wolves,Orion Pictures,184208848.0,1991-11-09,1991-12-31
Q2 1991,172,Robin Hood: Prince of Thieves,Warner Bros.,165493908.0,1991-06-14,1991-06-30
Q4 1991,150,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1991-11-15,1991-12-31
Q1 1991,146,The Silence of the Lambs,Orion Pictures,130742922.0,1991-02-14,1991-03-31
Q4 1991,147,The Addams Family,Paramount Pictures,113502426.0,1991-11-22,1991-12-31
Q4 1991,151,Kindergarten Cop,Universal Pictures,91457688.0,1991-12-22,1991-12-31
Q4 1991,157,Father of the Bride,Walt Disney Studios Motion Pictures,89325780.0,1991-12-20,1991-12-31
Q4 1991,208,Fried Green Tomatoes,Universal Pictures,82418501.0,1991-12-27,1991-12-31
Q4 1991,153,Cape Fear,Universal Pictures,79091969.0,1991-11-15,1991-12-31
Q2 1991,148,Backdraft,Universal Pictures,77868585.0,1991-05-24,1991-06-30
Q4 1991,154,Star Trek VI: The Undiscovered Country,Paramount Pictures,74888996.0,1991-12-06,1991-12-31
Q4 1991,163,The Prince of Tides,Columbia Pictures,74787599.0,1991-12-27,1991-12-31
Q4 1991,158,JFK,Warner Bros.,70405498.0,1991-12-20,1991-12-31
Q4 1991,152,The Godfather: Part III,Paramount Pictures,66666062.0,1991-12-25,1991-12-31
Q4 1991,156,The Last Boy Scout,Warner Bros.,59509925.0,1991-12-13,1991-12-31
Q4 1991,155,My Girl,Columbia Pictures,59489799.0,1991-11-27,1991-12-31
Q4 1991,171,Awakenings,Columbia Pictures,52096475.0,1991-12-22,1991-12-31
Q3 1991,165,Goodfellas,Warner Bros.,46836214.0,1991-09-19,1991-09-30
Q4 1992,235,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516.0,1992-11-20,1992-12-31
Q2 1992,236,Batman Returns,Warner Bros.,162831698.0,1992-06-19,1992-06-30
Q4 1992,251,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1992-11-15,1992-12-31
Q4 1992,240,A Few Good Men,Columbia Pictures,141340178.0,1992-12-11,1992-12-31
Q4 1992,238,The Bodyguard,Warner Bros.,121945720.0,1992-11-25,1992-12-31
Q1 1992,260,Wayne's World,Paramount Pictures,121697323.0,1992-02-14,1992-03-31
Q4 1992,257,The Addams Family,Paramount Pictures,113502426.0,1992-11-22,1992-12-31
Q3 1992,239,Unforgiven,Warner Bros.,101157447.0,1992-08-07,1992-09-30
Q4 1992,256,Fried Green Tomatoes,Universal Pictures,82418501.0,1992-12-27,1992-12-31
